用户评分,操控,动力,性价比,油耗,空间,舒适性,外观,内饰,车型
4.49,4.34,4.29,4.75,3.65,4.92,4.47,4.85,4.67,博瑞
4.60,4.90,4.96,4.91,4.00,4.26,4.27,4.93,4.63,凯迪拉克
4.55,4.47,4.50,4.75,4.44,4.95,4.20,4.84,4.28,速派
4.68,4.94,4.74,4.67,4.81,4.49,4.21,4.95,4.68,阿特兹
4.49,4.43,4.32,4.26,4.10,4.75,4.60,4.77,4.72,君越
4.42,4.22,4.71,3.88,4.49,4.65,4.15,4.65,4.62,奥迪
4.55,4.07,4.28,4.81,4.44,4.80,4.86,4.60,4.50,天籁
4.48,4.60,4.40,4.60,4.41,4.85,4.30,4.61,4.08,帕萨特
4.39,4.42,4.49,3.77,4.27,4.86,4.19,4.85,4.30,迈腾
4.26,4.77,4.37,4.42,3.27,3.76,4.23,4.81,4.46,君威
4.44,4.66,4.63,4.53,3.72,4.53,4.34,4.85,4.26,蒙迪欧
4.24,3.82,4.22,4.36,4.45,4.78,4.47,4.11,3.71,凯美瑞
4.35,4.37,4.34,4.24,4.44,4.68,3.93,4.57,4.20,雅阁
4.40,4.81,4.54,4.30,4.38,4.43,4.02,4.84,3.89,宝马